job_title,job_url,search_term,pay_type,hourly_rate_min,hourly_rate_max,est_hours_per_week,est_duration_weeks,fixed_price,estimated_total_pay,job_description,skill_1,skill_2,skill_3,skill_4,skill_6,skill_7,skill_8,skill_9,skill_10,skill_11,skill_12,skill_13
"Automation Specialist (Zapier, ChatGPT API, Claude ) for Content Distribution System",https://www.upwork.com/jobs/Automation-Specialist-Zapier-ChatGPT-API-Claude-span-class-highlight-span-for-Content-Distribution-System_~021916617367621477989/?referrer_url_path=/nx/search/jobs/,AI,Hourly,75.0,100.0,30.0,8.0,,21000.0,"I’m looking for an experienced automation expert to help set up a scalable content distribution system across social media channels. You must be highly proficient with Zapier, APIs (Open, Anthropic Claude), and basic integrations with tools like Buffer, Google Sheets, RSS, and social platforms (Twitter, LinkedIn, Instagram).

Responsibilities:

Build Zapier workflows to automate content posting, repurposing, and tracking

Set up API integrations (ChatGPT, Claude) for content generation and formatting

Link Google Sheets / RSS / Webhooks where necessary for structured input/output

Create basic documentation so a VA can manage the system post-setup

Suggest improvements to workflow efficiency and scalability

Requirements:

Proven experience building advanced Zapier workflows (show examples)

Strong understanding of APIs (especially ChatGPT and Claude)

Experience with social media scheduling/posting tools (Buffer, Later, Hootsuite)

Ability to build simple no-code/low-code solutions

Clear communicator who can document their work for handoff to others

Bonus Skills:

Basic knowledge of content repurposing and social media growth strategies

Light technical skills (like basic scripting or Make.com familiarity)

Project Scope:

1-time project to design and build the system (~15-25 hours)

Potential for ongoing maintenance/support afterward if a good fit

When Applying, Please Answer:

What similar automation projects have you done before? (show examples)

Are you comfortable setting up API calls with no-code tools?

How would you structure a scalable system for cross-platform content distribution?",Artificial Intelligence,Automation,Api,Zapier,,,,,,,,
"AWS Expert Needed to Deploy a RAG Chatbot (Bedrock, OpenSearch, Lambda)",https://www.upwork.com/jobs/AWS-Expert-Needed-Deploy-RAG-Chatbot-Bedrock-OpenSearch-Lambda_~021916474878795263856/?referrer_url_path=/nx/search/jobs/,AI,Hourly,70.0,85.0,30.0,4.0,,9300.0,"We are looking for an experienced AWS solutions engineer to help us deploy a Retrieval-Augmented Generation (RAG) chatbot inside our AWS environment.
The chatbot is fully specced out and has a complete starter codebase — we now need help setting it up and operationalizing it on AWS.

The chatbot is similar in behavior to a Custom GPT we've already built (Heather.) and is based on:

-3 large PDFs (~100-300 pages each)
~500,000 text message conversations
-A friendly, supportive, and expert nutrition tone

Scope of Work:

1. Set up Amazon OpenSearch with Vector Search enabled
-Create index, mappings (knn_vector), and configure secure access

2. Set up Amazon Bedrock
-Provision model access (Anthropic Claude, Amazon Titan, or Mistral)

3. Deploy AWS Lambda
-Configure environment variables
-Deploy provided Python backend (Lambda function + helper files)

4. Set up Amazon API Gateway
-Create an HTTP API endpoint for the chatbot
-Connect it to Lambda
-Enable CORS

5. Set up IAM Roles and Permissions
-Lambda permissions to Bedrock and OpenSearch

6. Assist with embedding the knowledge base
-(optional) Help run scripts to generate embeddings and upload to OpenSearch

7. Ensure everything is working end-to-end:
-User sends query → system retrieves relevant data → Bedrock generates friendly reply → returns to user

Deliverables:

1. Working RAG chatbot API endpoint on AWS
2. Tested embedding + retrieval pipeline
3. Deployment instructions (short notes)
4. (Optional) Minor updates to the Lambda if needed based on testing

Ideal Candidate:
-Deep experience with AWS OpenSearch, Bedrock, Lambda, API Gateway
-Familiar with vector search, embeddings, LLM orchestration
-Strong Python skills (Lambda functions)
-Comfortable setting up secure AWS environments
-Good communicator who can move quickly and independently

Other Details:

-We have a fully organized project folder ready (.zip with backend/scripts/data)
-We anticipate this project can be completed within 10-20 hours
-Future work may be available (adding user accounts, scaling chatbot, building front-end)

When applying, please briefly answer:

What is your experience setting up OpenSearch Vector Search and Bedrock on AWS?

Have you built any RAG (Retrieval-Augmented Generation) chatbots before?

What is your availability over the next 1-2 weeks?",Artificial Intelligence,Amazon Web Services,Aws Lambda,Python,Retrieval Augmented Generation,,,,,,,
Build Power Automate + Open Workflow to Convert Affiliate Emails into Radio-Ready Scripts,https://www.upwork.com/jobs/Build-Power-Automate-Open-span-class-highlight-span-Workflow-Convert-Affiliate-Emails-into-Radio-Ready-Scripts_~021916176876454511874/?referrer_url_path=/nx/search/jobs/,AI,Fixed,,,,,750.0,750.0,"I'm working with 20+ affiliate radio stations who each send me weekly email updates. I need a fully automated system that: Will look at the emails, pull station ID, Slogan, and update info from the emails. Rewrite the updates into short ready-to-read scripts and assign and increment am ID #to each update. Once a week or on demand, pull al the updates into a single studio ready doc that's ready to record.

💼 What I Need Built:
Email Parsing

Monitor a dedicated Outlook inbox or folder

Extract affiliate update content from the body of incoming emails

Support multiple updates in a single email (parse and handle each one separately)

Affiliate Lookup & Logic

Use sender email address to look up:

Call Letters

Station Slogan

Last used Item Number

Stored in an Excel file hosted on OneDrive

Auto-Increment & Update Tracking

Auto-increment the item number per affiliate

If 3 updates come in a single email, assign them item numbers sequentially

 Text Rewrite

Feed each update (along with the call letters, slogan, and item number) into Open (ChatGPT or Azure Open)

 rewrites the update into a professional, 15-second radio-ready script using a prompt I’ll provide

Formatted Output

Append the finished, -polished scripts into a Microsoft Word document for the week

Format:

arduino
Copy
Item 035  
KXYZ – Denver’s Rock Station  
[Rewritten script text]
Data Update

Update the Excel file to reflect the new item number after processing each update

✅ Additional Notes:
Emails will come in a semi-consistent format (we’ll guide affiliates).

I have a clear prompt, Excel structure, and flow design.

Bonus if you can build in light error handling (e.g., malformed emails).",Artificial Intelligence,Microsoft Power Automate,,,,Artificial Intelligence,Artificial Intelligence,Artificial Intelligence,Artificial Intelligence,Openai Api,,
Development for Sports Connection Platform,https://www.upwork.com/jobs/span-class-highlight-span-Development-for-Sports-Connection-Platform_~021916071793668346764/?referrer_url_path=/nx/search/jobs/,AI,Fixed,,,,,10000.0,10000.0,"Project Title: -Driven Sports Mentorship Platform​
Overview: We are developing an innovative platform that leverages   to provide personalized mentorship and performance tracking for youth athletes. The system aims to connect athletes, trainers, and parents through a cohesive digital ecosystem, enhancing athletic development and engagement.​
Key Objectives:
Develop a custom  engine capable of delivering tailored training programs and feedback.
Create a responsive web and mobile application for user interaction.
Implement secure data management practices to protect user information.​
Responsibilities:
Design and train machine learning models for performance analysis.
Develop intuitive user interfaces for web and mobile platforms.
Integrate  functionalities seamlessly into the application.
Ensure compliance with data privacy regulations.​
Gist, Stack Overflow, GitHub, React, Javascript, .css, Tailwind, Typescript, Firebase, Cloud Functions, Render, Custom Search and Match Engine  Model, Full DeepSeek 685B Parameter Model - or Required Skills:
Proficiency in Python and experience with ML frameworks like TensorFlow or PyTorch.
Experience in developing web applications using React or Angular.
Knowledge of mobile app development using Flutter or React Native.
Familiarity with cloud services such as AWS or Google Cloud.
Experience with version control systems like Git and platforms like GitHub.
Understanding of CI/CD pipelines and deployment using Firebase Hosting.​
 Engagement Terms: This is a part-time opportunity with compensation structured as a combination of limited cash and equity ownership. Ideal for professionals passionate about sports and  innovation.​
Application Process: Interested candidates should provide a portfolio of relevant projects and a brief proposal outlining their approach to developing the  components of the platform.​",Artificial Intelligence,Python,Api,Javascript,,Artificial Intelligence,Intelligence,Artificial Intelligence,Artificial Intelligence,Artificial Intelligence,,
Trading Automation System Development,https://www.upwork.com/jobs/span-class-highlight-span-Trading-Automation-System-Development_~021915839010232550094/?referrer_url_path=/nx/search/jobs/,AI,Fixed,,,,,3800.0,3800.0,"Trading Automation System (Python, Schwab API, Options Trading)

We're a nonprofit organization with a funded Schwab account, looking to build a custom -powered trading automation system that integrates with Schwab API (formerly TD Ameritrade) and leverages ThinkOrSwim (TOS) for monitoring.

🧠 Our Strategy:
Trade SPY and value stocks with large daily ranges.
Use ODE-style entry logic around support, resistance, and Anchored VWAP.
Trade options strategies (vertical spreads, straddles, etc.) in real time.
Deploy  decision engine to backtest, trade, and adapt intelligently.
💻 Your Role:
We need you to help design, develop, and deploy a Python-based system that:

Connects to Schwab API (OAuth2, accounts, equities + options order routing).
Implements live trade engine with scheduling and risk controls.
Pulls real-time and historical data (Schwab API + external sources like Polygon).
Computes AVWAP, support/resistance zones.
Backtests strategies using backtrader or vectorbt.
Integrates lightweight  model for trade decisions.
(Optional but ideal) Provides GUI for manual overrides or trade visualization.
Handles options multi-leg strategies and expiration logic.
✅ Requirements:
Proven experience with algo trading bots in Python.
Strong knowledge of broker APIs (Schwab, TD, Alpaca, IBKR, etc.).
Familiar with OAuth2 token refresh, scheduling, and secure credential handling.
Understanding of options trading strategies and real-time data structures.
Experience with /ML models (XGBoost, RL, etc.).
Prefer experience with backtesting libraries (backtrader, vectorbt).
🔐 Bonus:
Know AVWAP, RSI, Bollinger, or support/resistance logic.
Experience with FastAPI, Flask, or dashboard frameworks (Plotly Dash).
Familiar with ThinkOrSwim alerts or scripting.
📍Logistics:
Remote, flexible work hours.
Budget available for MVP + ongoing extensions.
This is mission-driven — we're funding innovation within a nonprofit research setup.
To Apply:
Please share:

Examples of algo trading systems you've built.
Brokerages/APIs you've worked with.
Your GitHub (if available).
Your rate and availability.",Artificial Intelligence,Api,Python,,,Artificial Intelligence,Artificial Intelligence,Artificial Intelligence,Artificial Intelligence,Artificial Intelligence,,
Remote Debug & Optimization N8N + Vector,https://www.upwork.com/jobs/Remote-Debug-Optimization-N8N-Vector_~021915820368578780605/?referrer_url_path=/nx/search/jobs/,AI,Hourly,85.0,125.0,30.0,4.0,,12600.0,"Freelance / Contract | Remote | Start ASAP

Sunday Market Media is seeking a sharp  workflow engineer or LLM modeling expert with strong n8n experience to help us debug, optimize, and scale our vector-enhanced automation flows.

We run a self-hosted n8n instance integrated with:
	•	PGVector (PostgreSQL vector storage)
	•	LLMs (Open + Local models like Mistral)
	•	Dynamic embeddings + RAG querying
	•	Internal business knowledge base enrichment

🔧 Responsibilities
	•	Debug and optimize n8n workflows involving  agents and vector memory
	•	Improve semantic search / term lookups via PGVector
	•	Ensure accurate and performant LLM responses across time-aware flows
	•	Help configure system prompts, embeddings, and metadata mapping

✅ Requirements
	•	Solid understanding of LLMs, embeddings, and retrieval workflows
	•	Experience with n8n, including Function nodes, HTTP/ Agents, and Postgres integrations
	•	Proficiency with PGVector and managing vector data
	•	Comfortable with prompt engineering and  response debugging

💡 Bonus Points
	•	Experience fine-tuning or self-hosting models (Mistral, GPT-J, etc.)
	•	Familiarity with embedding APIs (Open, Hugging Face)
	•	Knowledge of vector hygiene, dimensionality mismatches, and memory management",Artificial Intelligence,Ubuntu,Macos,Javascript,Linux,Artificial Intelligence,Artificial Intelligence,Artificial Intelligence,Artificial Intelligence,Ai Agent Development,,
"Job Opportunity: IT /  Developer & Software Lead (Full-Time, Build + Grow with Us)",https://www.upwork.com/jobs/Job-Opportunity-span-class-highlight-span-Developer-amp-Software-Lead-Full-Time-Build-Grow-with_~021915782381408429025/?referrer_url_path=/nx/search/jobs/,AI,Hourly,70.0,85.0,30.0,24.0,,55800.0,"We are seeking a dedicated, experienced IT/ Developer who can design, build, oversee, and continuously improve our custom healthcare software platform. You’ll work directly with the executive team to bring a bold vision to life.

You must be motivated, independent, hungry to succeed, and willing to own your role in a fast-paced startup environment. The right person will have the opportunity for long-term leadership, growth, and major financial rewards as we scale. Key Responsibilities

Architect, design, and build a secure, scalable, HIPAA-compliant software platform.

Oversee day-to-day functionality, performance, and security of the system.
Develop and manage integrations with  models, third-party APIs, and external platforms.

Implement best practices for software development, testing, compliance, and version control.
Identify and troubleshoot issues quickly, keeping downtime to an absolute minimum.

Stay proactive about upgrades, new tools,  enhancements, and evolving needs.
Manage potential future developers or tech contractors as the company grows.

Communicate regularly with leadership — providing updates, insights, and strategic suggestions.
What We're Looking For

3+ years professional experience in software development, IT infrastructure, and/or  integration.
Strong knowledge of modern programming languages (Python, JavaScript, Node.js, SQL, etc.)
Hands-on experience with  frameworks (TensorFlow, PyTorch, Open, etc.) preferred.

Solid understanding of cloud computing (AWS, Azure, or GCP) and scalable backend systems.
Commitment to HIPAA compliance and healthcare tech security standards.

Problem-solving mindset with a ""find a way"" attitude — not someone who needs to be micromanaged.
Excellent organization, communication, and time management skills.
Entrepreneurial spirit — you’re excited to build and scale something from the ground up.

Bonus Skills (Not Required but Highly Valued)

Experience in healthcare SaaS, compliance platforms, or telemedicine solutions.
Project management skills or formal Agile/Scrum experience.
UI/UX development experience.
Startup, early-stage tech, or SaaS background.",Artificial Intelligence,Google Analytics,Javascript,,,Artificial Intelligence,Artificial Intelligence,Artificial Intelligence,Artificial Intelligence,Ai Agent Development,Ai Development,
Developer Needed for MVP Build – Voice Tech +  + API Integration,https://www.upwork.com/jobs/Developer-Needed-for-MVP-Build-Voice-Tech-span-class-highlight-span-API-Integration_~021915561470295472645/?referrer_url_path=/nx/search/jobs/,AI,Fixed,,,,,750.0,750.0,"I'm looking for a skilled developer or small dev team to help build the MVP of a voice-driven automation tool. The project involves integrating cutting-edge tools for voice interaction, transcription, and -powered analysis into a seamless workflow.

You’ll be working with systems like Vapi., ElevenLabs, Open, and Whisper, orchestrated via Zapier and/or a lightweight backend. You'll need to build a system that initiates a voice call, collects and transcribes a user's spoken responses, and processes those responses with . The systems described can be subject to change based on recommendations. 

Tech Stack & Requirements:

1. Voice Output: Integrate with ElevenLabs to generate natural-sounding audio prompts

2. Voice Input: Use Vapi. (or similar) to handle incoming audio and call flow

3. Speech-to-Text: Transcribe spoken responses using Whisper (local or API-based)

4.  Processing: Use Open's GPT-4 (or equivalent LLM) to analyze transcribed input and return structured output

5. Workflow Automation: Build integrations with Zapier or similar tools for orchestration. 

6. Backend Support: Develop a simple backend to manage data flow, logging, and API authentication 

Ideal Candidate:

1. Has hands-on experience with at least two of the listed tools

2. Is comfortable with API integrations and handling asynchronous workflows

3. Has worked on voice tech, /NLP projects, or low-code automation

4. Understands data security, webhooks, and token-based auth

5. Communicates clearly, works efficiently, and respects confidential IP",Artificial Intelligence,Api,Api Integration,Zapier,Whisper Api,Artificial Intelligence,Artificial Intelligence,Artificial Intelligence,Artificial Intelligence,Openai Api,,
Python Developer Needed for  Healthcare Tool Development - Collaborative Dev Process,https://www.upwork.com/jobs/Python-Developer-Needed-for-span-class-highlight-span-Healthcare-Tool-Development-Collaborative-Dev-Process_~021915557790262304681/?referrer_url_path=/nx/search/jobs/,AI,Hourly,20.0,35.0,,24.0,,19800.0,"I am based in the US on PST
Seeking a skilled Python developer to assist in building an  tool aimed at providing recommendations based on specific healthcare research related to patient care. The ideal candidate will have a strong interest in  and machine learning 
** Must be willing to pass code back to me in real time,**

As a starting task
1. Pull the correct matching drugs from a database based on a series of questions asked of a patient
2. Match the patietnt to a clinical trial based on the diagnosis and the location.
Note the diagnosis may not cleanly match so some fuzzy matching may be required.
3. Acquire the lead - name, email, phone
4. Deploy bot to the web",Artificial Intelligence,Python,Api,Machine Learning,,Artificial Intelligence,,,,Artificial Intelligence,,
Experienced Software Engineer for -Powered Support Features,https://www.upwork.com/jobs/Experienced-Software-Engineer-for-span-class-highlight-span-Powered-Support-Features_~021915539566038361701/?referrer_url_path=/nx/search/jobs/,AI,Hourly,65.0,85.0,30.0,8.0,,18000.0,"We’re looking for an experienced Software Engineer to help design and implement -powered features for our support teams. The ideal candidate has a strong background in building  tools—such as chatbots and virtual assistants—leveraging Amazon Connect, Lex and other AWS services.

In this role, you’ll collaborate directly with our support leadership and engineering teams to define requirements, develop the project roadmap, and deploy solutions. Experience working with Salesforce is a strong plus.",Artificial Intelligence,Python,Machine Learning,Amazon Web Services,,Artificial Intelligence,,,,Artificial Intelligence,,
